merchant,category,star,address,oper_time,starCount,reviewCount
민트하임,디저트카페,3.7,서울마포구 잔다리로6길28 (우)04042,매일 11:30 ~ 21:30,48,125
이미커피,커피전문점,4.3,서울마포구 동교로25길7 1층(우)03992,수~일 12:00 ~ 21:00,125,412
윤씨밀방,양식,3.8,서울마포구 와우산로15길15 지하1층(우)04049,"수~일 11:30 ~ 21:00

수~일 휴게시간 15:00 ~ 16:00",171,176
구스토타코,"멕시칸,브라질",3.8,서울마포구 와우산로41 (우)04049,"화~토 11:30 ~ 22:00

일 11:30 ~ 20:30",128,125
신주양꼬치 홍대점,양꼬치,3.2,서울마포구 와우산로66 (우)04067,"월~금 17:00 ~ 05:00

토,일 17:00 ~ 06:00",36,460
카와카츠 본점,"돈까스,우동",4.2,서울마포구 동교로126 광남벨라스아파트1층102호(우)04030,"월~토 11:30 ~ 20:00

월~토 휴게시간 15:00 ~ 17:00",350,462
홍대삭 상수본점,분식,4.1,서울마포구 독막로71 1층(우)04049,매일 11:30 ~ 23:00,95,151
제순식당 홍대점,한식,4.7,서울마포구 와우산로15길30 지1층(우)04049,"월,화,수,목,금,일 11:00 ~ 22:00

월,화,수,목,금,일 라스트오더 ~ 21:00",47,49
야키토리 나루토,일본식주점,4.7,서울마포구 독막로9길26 야키토리나루토(우)04048,"월~금 16:00 ~ 23:00

토,일 15:00 ~ 23:00",196,501
별자리마라탕 홍대점,중국요리,4.1,서울마포구 와우산로23길50 지하1층(우)04055,매일 11:30 ~ 22:30,89,26
클럽에반스,칵테일바,4.5,서울마포구 와우산로63 2층(우)04049,매일 19:30 ~ 23:00,38,44
가비애,카페,4.1,서울마포구 와우산로147-1 (우)04053,매일 00:00 ~ 24:00,56,16
식스티즈,햄버거,4.5,서울마포구 와우산로23길9 칼리오페1층105호(우)04055,매일 10:30 ~ 21:00,91,291
고고갈비 홍대상수점,갈비,4.1,서울마포구 독막로77 1층(우)04049,"월,화,금,토,일 11:30 ~ 01:00

수,목 11:30 ~ 23:00",88,1610
구공탄곱창 본점,"곱창,막창",4.0,서울마포구 양화로6길77 1층(우)04047,"매일 17:00 ~ 02:00

매일 라스트오더 ~ 00:30",50,104
김앤김대게 서교점,"게,대게",3.6,서울마포구 양화로100 3층(우)04038,매일 11:30 ~ 22:00,14,44
룸넘버3 브런치 카페&와인,카페,5.0,서울마포구 독막로73-1 2층(우)04049,"화~토 11:00 ~ 24:00

일 11:00 ~ 23:00",11,60
